,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Demarcus Robinson (FA),2022,4,2,3,10,5.0,7,0,0,0,0,0,0,1.0
Lil'Jordan Humphrey (DEN),2022,4,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Amari Cooper (CLE),2022,4,1,4,9,9.0,9,0,0,0,0,0,0,0.9
Equanimeous St. Brown (CHI),2022,4,0,2,9,0.0,0,0,0,0,0,0,0,0.9
Allen Robinson II (LAR),2022,4,2,6,7,3.5,5,0,0,0,0,0,0,0.7
Rondale Moore (ARI),2022,4,3,5,11,3.7,7,0,0,1,-4,0,0,0.7
Jamison Crowder (NYG),2022,4,1,4,7,7.0,7,0,0,0,0,0,0,0.7
Julio Jones (FA),2022,4,1,2,7,7.0,7,0,0,0,0,0,0,0.7
Ray-Ray McCloud III (SF),2022,4,1,3,6,6.0,6,0,0,0,0,0,0,0.6
Greg Dortch (ARI),2022,4,1,1,6,6.0,6,0,0,0,0,0,0,0.6
Dyami Brown (WAS),2022,4,1,4,6,6.0,6,0,0,0,0,0,0,0.6
David Sills V (NYG),2022,4,1,2,5,5.0,5,0,0,0,0,0,0,0.5
Cole Beasley (BUF),2022,4,1,1,5,5.0,5,0,0,0,0,0,0,0.5
K.J. Osborn (MIN),2022,4,1,2,6,6.0,6,0,0,1,-1,0,0,0.5
Montrell Washington (DEN),2022,4,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Mecole Hardman (NYJ),2022,4,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Quez Watkins (PHI),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Amari Rodgers (HOU),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Shi Smith (CAR),2022,4,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Ihmir Smith-Marsette (KC),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Laviska Shenault Jr. (CAR),2022,4,0,0,0,0.0,0,0,0,1,0,0,0,0.0
KhaDarel Hodge (FA),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Malik Turner (IND),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Justin Watson (FA),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Gunner Olszewski (PIT),2022,4,0,0,0,0.0,0,0,0,1,0,0,0,0.0
Jalen Reagor (MIN),2022,4,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Chase Claypool (CHI),2022,4,0,2,0,0.0,0,0,0,0,0,0,0,0.0
KaVontae Turpin (DAL),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyron Johnson (SF),2022,4,0,0,0,0.0,0,0,0,0,0,0,0,0.0
